=== старт, uptime 15.25 ===
--- запускаю wpa_supplicant -Dwext ---
Successfully initialized wpa_supplicant
процесс: 2015 /sbin/wpa_supplicant
2039 wpa_supplicant
срез 1: wpa_state=DISCONNECTED | wlan0 DORMANT fe80::7e61:93ff:fe37:3c26/64 
срез 2: wpa_state=DISCONNECTED | wlan0 DORMANT fe80::7e61:93ff:fe37:3c26/64 
срез 3: wpa_state=DISCONNECTED | wlan0 DORMANT fe80::7e61:93ff:fe37:3c26/64 
срез 4: wpa_state=DISCONNECTED | wlan0 DORMANT fe80::7e61:93ff:fe37:3c26/64 
срез 5: wpa_state=DISCONNECTED | wlan0 DORMANT fe80::7e61:93ff:fe37:3c26/64 
срез 6: wpa_state=DISCONNECTED | wlan0 DORMANT fe80::7e61:93ff:fe37:3c26/64 
срез 7: wpa_state=DISCONNECTED | wlan0 DORMANT fe80::7e61:93ff:fe37:3c26/64 
срез 8: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 9: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 10: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 11: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 12: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 13: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 14: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 15: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 16: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 17: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 18: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 19: wpa_state=INTERFACE_DISABLED | wlan0 DOWN 
срез 20: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 21: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 22: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 23: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 24: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 25: wpa_state=INTERFACE_DISABLED | wlan0 DOWN 
срез 26: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 27: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 28: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 29: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 30: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 31: wpa_state=DISCONNECTED | wlan0 DORMANT 
срез 32: wpa_state=DISCONNECTED | wlan0 DORMANT 
